comuna,barrio
1,Retiro
1,San Nicolás
1,Puerto Madero
1,San Telmo
1,Monserrat
1,Congreso
1,Tribunales
1,Centro / Microcentro
1,Constitución
1,Catalinas
2,Recoleta
3,San Cristóbal
3,San Cristobal
3,Balvanera
3,Barrio Norte
3,Once
3,Abasto
4,Boca
4,Barracas
4,Parque Patricios
4,Nueva Pompeya
4,Pompeya
5,Almagro
5,Boedo
6,Parque Centenario
6,Caballito
7,Flores
7,Parque Chacabuco
8,Villa Soldati
8,Villa Riachuelo
8,Villa Lugano
9,Parque Avellaneda
9,Liniers
9,Mataderos
10,Villa Real
10,Monte Castro
10,Versalles
10,Floresta
10,Velez Sarsfield
10,Vélez Sársfield
10,Villa Luro
11,Villa Gral. Mitre
11,Villa General Mitre
11,Villa Devoto
11,Villa del Parque
11,Villa Santa Rita
12,Coghlan
12,Saavedra
12,Villa Urquiza
12,Villa Pueyrredón
12,Villa Pueyrredon
13,Belgrano
13,Núñez
13,Las Cañitas
13,Nuñez
13,Colegiales
14,Palermo Soho
14,Palermo Hollywood
14,Palermo
14,Palermo Chico
14,Palermo Viejo
15,Chacarita
15,Villa Crespo
15,Paternal
15,Villa Ortúzar
15,Villa Ortuzar
15,Agronomía
15,Parque Chas
16,Capital Federal
